landlord,country_code,city,state,zip,review,repair,health,stability,privacy,respect,date_added,flagged,flagged_reason,admin_approved,admin_edited
MADISON APARTMENT GROUPS,US,FORT COLLINS,COLORADO,80525,"Buckinghorse apartments are owned by the large parent company, Madison Apartment Group, which isn’t operated anywhere near the city. They recently acquired the rental units and have hiked prices quite steeply. They have good amenities and are permissive with their pet policy (although they do discriminate based on the reported breed of your pet). The people working on location are very good, but any administrators beyond that would be nearly impossible to reach. Overall I’m very happy with the location, I just wish they’d do more to help renters afford the place",4,3,2,5,3,2023-02-28T13:06:44.237Z,false,Profanity,true,false
HARLEY SMALLWOOD,CA,OTTAWA,ONTARIO,K1A0K2,I've been here six years and got extremely lucky how good it's been. We all know it's so incredibly bad out there so try to find a decent place and dig in for the coming storm.,5,5,5,5,5,2023-02-27T13:06:45.198Z,false,Profanity,true,false
ADAM HAMMOUD,CA,WATERLOO,ONTARIO,N2L1W4,Adam was my first landlord in Waterloo as a student. He drove over promptly to address concerns and was an overall cool person to talk to.,4,5,5,5,5,2023-02-26T23:46:45.839Z,false,,,false
NOMAD HOMES INC.,CA,KINGSTON,ONTARIO,ONK7P0S4,"Rented from Nomad Homes, didn't really interact with the landlord at all, but the leasing staff was great to deal with, and they were quick to help address any maintenance concerns.  Beautiful house that we lived in for just over a year.",5,5,5,5,5,2023-04-11T20:27:28.095Z,false,,,false
DOROTHY HOWLEY,CA,TORONTO,ONTARIO,M5V1B2,"She's great! The unit was great so never had a reason to contact her. After signing the lease, move in was super smooth.",4,5,5,5,5,2023-02-26T23:58:53.275Z,false,,,false
METCAP MANAGEMENT,CA,TORONTO,ONTARIO,M4W0A2,,1,1,3,4,1,2023-02-27T13:03:39.272Z,false,,,false
JOHN LAMONT,CA,TORONTO,ONTARIO,M6H1N4,,1,1,5,1,1,2023-02-28T13:03:36.966Z,false,,,false
ERIC TROUGHT,CA,KINGSTON,ONTARIO,K7M1S2,,3,4,5,5,5,2023-04-11T20:34:34.069Z,false,,,false
WREN LAMONT,CA,TORONTO,ONTARIO,M6H1N4,,1,1,5,1,1,2023-02-28T13:04:20.713Z,false,,,false
ANITA HEAD,CA,VANCOUVER,BRITISH COLUMBIA,V6A1P8,She is constantly threatening to evict me and imposing 20% rent hikes on to me.  Expecting to me run errands for her.,1,1,1,1,1,2023-02-27T13:02:34.649Z,false,Profanity,true,false
KELSEY PARSONS,CA,KINGSTON,ONTARIO,K7K3T9,,2,1,1,3,1,2023-04-11T20:49:24.573Z,false,,,false
DAVID KAY,CA,KINGSTON,ONTARIO,K7K1E1,,2,1,4,5,3,2023-04-11T20:52:54.631Z,false,,,false
VELDA LEE,US,NEW YORK CITY,NEW YORK,CHINATOWN,"LL does not properly heat the apartment in winter. On cold days, apartment is often 5-10 F lower than legally required minimum.LL does not properly heat the apartment in winter. On cold days, apartment is often 5-10 F lower than legally required minimum.",3,3,4,3,2,2023-03-29T23:45:43.098Z,false,,,false
SHORELINE PROPERTY MANAGEMENT ,CA,KINGSTON,ONTARIO,K7L0C7,"When first looking into renting, I noted a history of cockroach and rat infestation from a post a few years prior. The leasing manager Holly assured me that there was no issues and the building is will maintained. Not only is there still a rat and cockroach infestation, but bedbugs as well. There is issues with other tenants keys not working, and having to use windows while entering and leaving their apartments. 

Trash is constantly found thrown and left in the hallways and trash cans, with zero accountability when trying to communicate with the PM. 

Would not recommend renting with Shoreline. ",1,1,1,4,1,2023-04-11T21:30:28.762Z,false,,,false
AXON PROPERTY,CA,KINGSTON,ONTARIO,K7K1Y6,They are fine by most standards. Repair team is the best part. I wish they took more initiative to upgrade before things required repairs. ,4,3,4,3,3,2023-04-11T21:39:53.702Z,false,,,false
SCHEMBRI PROPERTY MANAGEMENT,CA,WATERLOO,Ontario,N2T2N3,"Even though we paid for air conditioning as apart of our lease, Schembri took two years to fix our broken unit and tried to tell us multiple times that it was not broken. They only took action when a negative google review from our unit started to become popular.",1,3,3,1,1,2023-02-27T13:21:07.848Z,false,Profanity,true,true
CHRIS SCHMIDT,CA,EDMONTON,ONTARIO,T5K1X7,One of the best places I lived!  Chris and his dad were the best landlords any tenet could have asked for.  was a tough place to give up.  ,5,5,5,5,5,2023-04-11T21:01:07.165Z,false,Wrong province,true,false
AXON PROPERTY MANAGEMENT,CA,KINGSTON,ONTARIO,K7K4M7,,1,1,1,1,1,2023-04-11T23:56:43.474Z,false,,,false
BEN PILON (BPE DEVELOPEMENT),CA,KINGSTON,ONTARIO,K7K,"Borderline criminal. Did not believe we had cockroaches, even when sent photographic proof. We collected dead ones in a cup as proof, problem still not resolved. Charging extremely high rent to prey on vulnerable people who have nowhere else to move. ",1,1,1,2,1,2023-04-12T00:02:22.066Z,false,,,false
